phylum	taxa_count	is_monophyletic	color
Euryarchaeota	144	False	#E51919
Proteobacteria	86	False	#19E519
Firmicutes	47	False	#1919E5
Crenarchaeota	33	False	#E5E519
Actinobacteria	31	True	#E519E5
Woesearchaeota	23	True	#19E5E5
Bacteroidetes	23	True	#FF8C00
Pacearchaeota	19	True	#8B4513
Cyanobacteria	14	True	#FF1493
Thaumarchaeota	13	True	#00CED1
Aenigmarchaeota	12	True	#9400D3
Bathyarchaeota	11	True	#FFD700
Chloroflexi	11	True	#32CD32
Micrarchaeota	10	True	#FF6347
Nanohaloarchaeota	8	True	#4682B4
Altiarchaeota	8	True	#DAA520
Diapherotrites	7	True	#FF69B4
Planctomycetes	7	True	#00FF7F
Heimdallarchaeota	6	True	#DC143C
Thorarchaeota	6	True	#4169E1
Verstraetearchaeota	6	True	#9370DB
Korarchaeota	6	True	#20B2AA
Lokiarchaeota	5	True	#FF7F50
Aigarchaeota	5	True	#B22222
Nanoarchaeota	4	True	#228B22
Nitrospirae	4	False	#CD5C5C
Acidobacteria	4	True	#90EE90
Spirochaetes	4	True	#87CEEB
Tenericutes	4	False	#DDA0DD
Thermotogae	4	True	#FFA07A
DeepDiapherotrites	3	True	#E51919
UAP2	3	True	#19E519
Marsarchaeota	3	True	#1919E5
Nezhaarchaeota	3	True	#E5E519
Aquificae	3	True	#E519E5
Chlorobi	3	True	#19E5E5
Fusobacteria	3	True	#FF8C00
Verrucomicrobia	3	True	#8B4513
Candidatus_Omnitrophica	3	True	#FF1493
Deinococcus-Thermus	3	True	#00CED1
Synergistetes	3	True	#9400D3
Parvarchaeota	2	True	#FFD700
DeepParv	2	True	#32CD32
Huberarchaea	2	True	#FF6347
Helarchaeota	2	True	#4682B4
Geothermarchaeota	2	True	#DAA520
Thermodesulfobacteria	2	True	#FF69B4
Deferribacteres	2	True	#00FF7F
candidate_division_TM6	2	True	#DC143C
Candidatus_Kryptonia	2	True	#4169E1
Candidatus_Marinimicrobia	2	True	#9370DB
Candidatus_Fermentibacteria	2	True	#20B2AA
Candidatus_Poribacteria	2	True	#FF7F50
Chlamydiae	2	True	#B22222
Elusimicrobia	2	True	#228B22
Candidatus_Staskawiczbacteria	2	True	#CD5C5C
Candidatus_Saccharibacteria	2	True	#90EE90
Armatimonadetes	2	True	#87CEEB
Candidatus_Melainabacteria	2	True	#DDA0DD
Hydrothermarchaeota	1	True	#FFA07A
Odinarchaeota	1	True	#E51919
Chrysiogenetes	1	True	#19E519
Candidatus_Schekmanbacteria	1	True	#1919E5
Nitrospinae	1	True	#E5E519
Candidatus_Tectomicrobia	1	True	#E519E5
Candidatus_Rokubacteria	1	True	#19E5E5
Candidatus_Aminicenantes	1	True	#FF8C00
Fibrobacteres	1	True	#8B4513
Balneolaeota	1	True	#FF1493
Rhodothermaeota	1	True	#00CED1
Ignavibacteriae	1	True	#9400D3
KSB1	1	True	#FFD700
candidate_division_Zixibacteria	1	True	#32CD32
Candidatus_Raymondbacteria	1	True	#FF6347
Gemmatimonadetes	1	True	#4682B4
Candidatus_Glassbacteria	1	True	#DAA520
Candidatus_Eisenbacteria	1	True	#FF69B4
Candidatus_Latescibacteria	1	True	#00FF7F
Candidatus_Cloacimonetes	1	True	#DC143C
Candidatus_Hydrothermae	1	True	#4169E1
candidate_division_WOR-3	1	True	#9370DB
Candidatus_Stahlbacteria	1	True	#20B2AA
Candidatus_Desantisbacteria	1	True	#FF7F50
Kiritimatiellaeota	1	True	#B22222
Lentisphaerae	1	True	#228B22
Candidatus_Firestonebacteria	1	True	#CD5C5C
Candidatus_Hydrogenedentes	1	True	#90EE90
Candidatus_Parcubacteria	1	True	#87CEEB
Candidatus_Gribaldobacteria	1	True	#DDA0DD
Candidatus_Nealsonbacteria	1	True	#FFA07A
Candidatus_Wildermuthbacteria	1	True	#E51919
Candidatus_Spechtbacteria	1	True	#19E519
Candidatus_Terrybacteria	1	True	#1919E5
Candidatus_Jorgensenbacteria	1	True	#E5E519
Candidatus_Wolfebacteria	1	True	#E519E5
Candidatus_Brennerbacteria	1	True	#19E5E5
Candidatus_Adlerbacteria	1	True	#FF8C00
Candidatus_Kaiserbacteria	1	True	#8B4513
Candidatus_Zambryskibacteria	1	True	#FF1493
Candidatus_Vogelbacteria	1	True	#00CED1
Candidatus_Giovannonibacteria	1	True	#9400D3
Candidatus_Sungbacteria	1	True	#FFD700
Candidatus_Yanofskybacteria	1	True	#32CD32
Candidatus_Andersenbacteria	1	True	#FF6347
Candidatus_Moranbacteria	1	True	#4682B4
Candidatus_Komeilibacteria	1	True	#DAA520
Candidatus_Buchananbacteria	1	True	#FF69B4
Candidatus_Magasanikbacteria	1	True	#00FF7F
Candidatus_Peregrinibacteria	1	True	#DC143C
Candidatus_Gracilibacteria	1	True	#4169E1
Candidatus_Woesebacteria	1	True	#9370DB
Candidatus_Pacebacteria	1	True	#20B2AA
Candidatus_Roizmanbacteria	1	True	#FF7F50
Candidatus_Curtissbacteria	1	True	#B22222
Candidatus_Woykebacteria	1	True	#228B22
candidate_division_CPR3	1	True	#CD5C5C
candidate_division_AD3	1	True	#90EE90
candidate_division_WPS-2	1	True	#87CEEB
Candidatus_Sericytochromatia	1	True	#DDA0DD
Candidatus_Margulisbacteria	1	True	#FFA07A
Candidatus_Bipolaricaulota	1	True	#E51919
Candidatus_Calescamantes	1	True	#19E519
Coprothermobacterota	1	True	#1919E5
Caldiserica	1	True	#E5E519
Dictyoglomi	1	True	#E519E5
